year,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,selling_price
2019,186189,CNG,Manual,First Owner,22,1644,64,4,10307498
2015,183043,CNG,Automatic,Third Owner,18,1296,153,5,10275787
2014,11928,Diesel,Manual,Third Owner,22,1495,49,4,10589889
2007,60309,Petrol,Automatic,First Owner,17,2673,75,5,10785862
2018,176960,Petrol,Manual,Third Owner,11,2778,164,5,10732428
2020,179904,CNG,Manual,Third Owner,21,1342,157,5,10282216
2014,121196,Petrol,Automatic,Second Owner,13,1015,184,5,10365401
2014,14404,CNG,Manual,First Owner,18,1097,97,7,10457049
2016,169711,CNG,Manual,Third Owner,13,2169,122,5,10559002
2013,196670,CNG,Automatic,First Owner,16,1085,121,4,10082755
2005,118187,CNG,Automatic,Second Owner,14,925,62,4,10101557
2009,115449,Diesel,Manual,Third Owner,19,850,175,6,10289676
2012,32684,Petrol,Automatic,Third Owner,15,2242,89,4,10776446
2015,73591,Diesel,Manual,First Owner,10,2525,183,5,10880286
2016,124821,Diesel,Automatic,Third Owner,13,1270,128,4,10334307
2005,7682,Diesel,Automatic,First Owner,14,2199,82,5,10741373
2015,116186,CNG,Automatic,Third Owner,15,2303,135,5,10630009
2009,174118,CNG,Automatic,Second Owner,15,2129,152,6,10459871
2019,26832,Diesel,Manual,Second Owner,14,1237,153,7,10551571
2009,21997,Diesel,Automatic,First Owner,12,1548,121,4,10580541
2016,39640,Petrol,Manual,Third Owner,20,1323,135,4,10561600
2009,45491,Diesel,Manual,Third Owner,24,1454,85,5,10497981
2021,68043,CNG,Manual,First Owner,11,1305,143,4,10482208
2021,117175,Diesel,Manual,Second Owner,24,1198,54,4,10322021
2016,133568,Petrol,Manual,Second Owner,16,2908,88,7,10765595
2019,119250,Petrol,Automatic,Second Owner,10,2738,188,4,10844184
2019,77725,Diesel,Automatic,First Owner,21,2004,114,5,10669750
2010,133131,Petrol,Manual,Second Owner,21,1064,45,7,10122167
2016,50520,Petrol,Manual,First Owner,14,1852,94,4,10606146
2022,67919,CNG,Automatic,Second Owner,13,1511,122,5,10546597
2018,114869,Petrol,Manual,Second Owner,16,1712,115,5,10451323
2006,69442,Petrol,Automatic,First Owner,11,2414,54,4,10653970
2013,157842,Diesel,Manual,Third Owner,20,2479,50,7,10568260
2009,110246,CNG,Automatic,Third Owner,22,2534,166,6,10708412
2005,183570,Petrol,Automatic,Third Owner,17,2245,159,5,10492391
2007,114687,Diesel,Manual,Second Owner,18,2936,113,4,10765970
2010,128447,Diesel,Automatic,Second Owner,22,1131,90,6,10248996
2009,66477,Diesel,Manual,Third Owner,24,951,127,5,10282862
2009,5244,Diesel,Automatic,Second Owner,21,1507,139,7,10625401
2005,168860,Diesel,Automatic,Second Owner,19,2973,104,6,10723576
2021,84453,Diesel,Manual,Third Owner,24,1220,56,4,10402488
2018,193809,Petrol,Automatic,First Owner,10,2508,181,6,10587824
2016,182561,CNG,Automatic,Third Owner,14,1052,77,6,10154916
2014,132962,CNG,Manual,Third Owner,13,1798,157,5,10511429
2022,76303,Diesel,Automatic,First Owner,14,2634,192,5,10936248
2015,33390,Diesel,Manual,Second Owner,18,2531,163,4,10904513
2006,15247,CNG,Manual,Third Owner,24,1092,76,7,10402342
2022,195791,Petrol,Automatic,Third Owner,21,2040,125,5,10488075
2011,170750,Diesel,Manual,Second Owner,12,968,150,6,10174220
2019,34583,CNG,Automatic,Second Owner,23,2863,174,6,11074206
2015,144148,CNG,Automatic,First Owner,10,836,50,4,10100282
2022,154078,Diesel,Manual,Second Owner,20,2244,117,5,10572185
2016,151123,CNG,Automatic,Third Owner,12,2726,152,7,10730261
2010,140386,Petrol,Automatic,Second Owner,13,1095,91,5,10177878
2017,33670,CNG,Automatic,Second Owner,22,1722,108,4,10636338
2020,129920,Diesel,Manual,First Owner,24,2620,110,7,10748901
2022,15236,Diesel,Manual,First Owner,22,1780,54,5,10651783
2014,40568,CNG,Automatic,Third Owner,11,1448,188,6,10597468
2012,196386,CNG,Manual,Third Owner,10,1082,121,4,10079915
2022,112327,Diesel,Automatic,Second Owner,10,2462,40,7,10634599
2005,115188,Petrol,Automatic,Third Owner,24,1798,178,7,10469122
2012,21352,CNG,Manual,Third Owner,17,885,49,5,10313187
2010,130721,Petrol,Manual,Second Owner,13,1006,186,7,10290711
2009,181722,Petrol,Manual,Second Owner,21,2566,157,6,10591848
2019,146418,Diesel,Automatic,Second Owner,11,930,81,7,10145022
2019,161228,Diesel,Manual,First Owner,19,935,133,4,10154197
2006,60904,Diesel,Automatic,First Owner,12,1986,153,6,10705972
2005,150107,Petrol,Automatic,Second Owner,17,998,80,6,10112876
2015,127141,Diesel,Automatic,First Owner,15,1538,165,5,10452840
2014,21108,Diesel,Manual,First Owner,17,2317,187,6,10896856
2022,7853,Petrol,Manual,First Owner,19,902,163,7,10566503
2022,89156,Petrol,Manual,Third Owner,14,1347,194,7,10550120
2021,9176,Petrol,Automatic,Second Owner,12,805,51,5,10413442
2012,105459,Petrol,Automatic,Second Owner,15,1510,165,7,10421862
2019,161992,CNG,Manual,Third Owner,19,811,137,7,10110188
2012,190922,Diesel,Manual,First Owner,17,2950,145,6,10659447
2021,142901,CNG,Manual,Second Owner,23,2656,153,5,10813476
2016,128225,Petrol,Manual,First Owner,14,2513,152,5,10731287
2012,123458,Petrol,Manual,Third Owner,14,1226,97,7,10237858
2018,115893,Petrol,Manual,First Owner,12,970,153,7,10279341
2008,78927,Petrol,Manual,Third Owner,12,2512,149,4,10786217
2005,123178,Petrol,Manual,Third Owner,22,888,50,5,10131318
2005,45667,Diesel,Manual,First Owner,21,1654,197,6,10616700
2020,171915,CNG,Automatic,First Owner,24,2257,166,7,10623235
2018,186880,CNG,Manual,Second Owner,17,977,122,4,10143186
2020,166615,Diesel,Manual,Third Owner,20,1217,79,4,10209926
2009,11611,Diesel,Automatic,First Owner,24,1353,153,6,10580133
2013,93242,Diesel,Automatic,First Owner,10,1041,133,7,10324594
2006,89612,CNG,Automatic,Second Owner,13,2179,138,6,10608563
2022,51902,CNG,Automatic,Second Owner,18,2396,107,7,10812130
2010,38043,Petrol,Automatic,Second Owner,15,2261,188,4,10824235
2013,141343,CNG,Automatic,Third Owner,15,2265,44,7,10471840
2005,77867,CNG,Automatic,Second Owner,23,2804,174,4,10894160
2013,82089,Diesel,Manual,Third Owner,19,2746,164,5,10847740
2020,63745,CNG,Manual,Second Owner,20,2100,70,4,10690044
2017,198149,Petrol,Manual,Third Owner,20,1870,64,6,10273336
2013,195191,CNG,Automatic,Second Owner,22,1621,141,4,10338097
2017,147645,Diesel,Manual,Third Owner,16,2719,120,7,10688617
2013,157481,Diesel,Automatic,Second Owner,20,2588,118,6,10642710
2015,90970,Petrol,Manual,Second Owner,16,991,158,6,10396452
2008,29464,Petrol,Automatic,First Owner,15,2896,146,5,11030541
2006,178912,CNG,Manual,Third Owner,18,2941,46,5,10557772
2010,184857,Petrol,Manual,First Owner,17,1730,142,5,10351465
2018,123523,Petrol,Manual,Third Owner,21,2572,90,6,10694174
2008,25662,Diesel,Manual,First Owner,17,856,192,6,10448595
2010,23228,Diesel,Manual,Second Owner,11,2853,195,7,11070840
2010,65721,CNG,Manual,First Owner,16,2797,194,6,10988511
2006,185295,CNG,Manual,Second Owner,24,1037,94,5,10109663
2022,143458,CNG,Automatic,Third Owner,21,1532,77,4,10351922
2017,11862,CNG,Automatic,Second Owner,10,2867,95,7,11029404
2013,45108,Diesel,Manual,First Owner,19,2027,131,7,10680748
2017,96788,CNG,Manual,Third Owner,24,941,196,4,10366424
2015,85140,CNG,Manual,First Owner,17,1615,111,7,10464977
2005,163273,Petrol,Manual,Second Owner,22,2817,116,5,10634990
2011,73578,CNG,Automatic,Second Owner,12,2927,85,5,10878395
2019,54966,Petrol,Automatic,First Owner,20,1009,76,7,10385124
2005,190846,Diesel,Manual,Third Owner,22,1567,42,7,10167839
2016,15386,CNG,Manual,First Owner,18,2887,117,7,10997968
2011,82228,Petrol,Manual,Second Owner,24,1252,116,6,10391564
2019,151297,CNG,Manual,Third Owner,14,1513,89,6,10353004
2005,152765,Petrol,Automatic,First Owner,16,885,188,6,10172668
2021,77197,CNG,Automatic,Second Owner,23,2378,146,4,10771060
2021,48021,Diesel,Automatic,Third Owner,16,2816,70,4,10900310
2007,123915,Diesel,Automatic,First Owner,18,2713,46,5,10620269
2016,154333,Petrol,Manual,Third Owner,11,2405,96,7,10574288
2010,163450,Petrol,Automatic,Second Owner,13,1443,75,7,10234037
2015,122174,Diesel,Manual,First Owner,21,2071,125,7,10583819
2007,91755,CNG,Automatic,First Owner,17,2424,63,5,10642960
2012,148009,Petrol,Automatic,Second Owner,14,2362,63,6,10494167
2018,71330,Diesel,Manual,Second Owner,20,1549,95,4,10483453
2018,183438,Petrol,Automatic,Second Owner,14,2197,116,4,10491840
2014,77322,Diesel,Manual,First Owner,12,2765,163,5,10862489
2006,107318,Diesel,Manual,Second Owner,14,860,67,7,10136619
2018,176232,Petrol,Manual,First Owner,22,2330,199,7,10634863
2013,50313,Petrol,Manual,First Owner,16,1574,116,4,10540107
2007,32032,Diesel,Manual,Third Owner,13,915,117,6,10316755
2012,153430,CNG,Automatic,Second Owner,17,2556,135,4,10703727
2020,66710,Diesel,Automatic,Second Owner,23,2247,84,6,10746553
2006,100326,CNG,Manual,Third Owner,20,1951,108,6,10566980
2010,91157,CNG,Manual,First Owner,15,2149,138,6,10695112
2016,184893,CNG,Manual,First Owner,15,2022,159,6,10499853
2009,33365,Petrol,Manual,First Owner,15,1426,107,7,10468475
2006,18189,Diesel,Automatic,Second Owner,13,2156,117,4,10739915
2020,12248,Diesel,Manual,First Owner,23,2289,185,4,10983949
2009,9369,CNG,Automatic,Third Owner,24,2665,114,6,10960634
2019,199835,CNG,Automatic,First Owner,12,2136,122,5,10487394
2016,144122,CNG,Manual,Second Owner,19,1322,41,7,10205125
2008,33605,Diesel,Automatic,Second Owner,15,2439,170,5,10857775
2019,54616,CNG,Manual,First Owner,15,2771,196,6,11056891
2015,190551,Diesel,Manual,First Owner,11,1431,126,6,10293992
2020,108719,Diesel,Automatic,Second Owner,23,1036,87,5,10271537
2010,176955,Petrol,Manual,First Owner,19,2571,104,4,10523989
2018,38055,CNG,Manual,Third Owner,18,1767,81,4,10602309
2022,121680,CNG,Automatic,Second Owner,13,2640,173,5,10802711
2016,12450,CNG,Automatic,First Owner,13,1242,98,6,10518468
2015,138997,Petrol,Automatic,First Owner,19,2711,120,7,10768153
2017,55272,CNG,Manual,First Owner,22,1819,58,6,10562051
2015,10310,Diesel,Automatic,Third Owner,21,2806,147,4,11003927
2020,36817,CNG,Automatic,Second Owner,20,2362,100,4,10803711
2019,180600,Diesel,Automatic,Third Owner,21,1641,159,6,10361657
2019,191851,Diesel,Automatic,First Owner,21,1434,169,4,10342764
2008,87641,Diesel,Manual,Third Owner,17,1612,118,5,10439815
2015,20457,Diesel,Automatic,First Owner,12,2509,190,5,10966519
2019,47311,CNG,Automatic,First Owner,19,2370,58,4,10733722
2008,140052,Petrol,Manual,Second Owner,16,1864,136,6,10477594
2017,156958,Petrol,Automatic,Second Owner,16,985,109,5,10150809
2006,186949,Diesel,Automatic,First Owner,11,2518,186,4,10609502
2018,128573,CNG,Manual,First Owner,12,2212,133,4,10672283
2008,102427,Petrol,Manual,First Owner,24,2272,189,7,10664202
2020,41181,CNG,Manual,Second Owner,21,1498,170,6,10598475
2018,169334,Petrol,Manual,Second Owner,23,1744,163,4,10439625
2019,137019,Diesel,Manual,First Owner,13,936,172,5,10284881
2007,136094,Diesel,Automatic,Second Owner,11,2025,106,4,10430122
2012,6128,Diesel,Automatic,First Owner,23,1692,78,6,10618186
2020,84522,Petrol,Automatic,Third Owner,18,1420,195,4,10546071
2014,168394,CNG,Automatic,Second Owner,19,1652,168,5,10438870
2008,53929,Diesel,Manual,First Owner,20,1670,189,5,10624960
2022,86696,CNG,Manual,Third Owner,15,1411,148,4,10510437
2006,120245,CNG,Manual,First Owner,10,2338,90,7,10614664
2021,14808,Diesel,Automatic,Third Owner,24,2368,142,6,10889088
2017,100148,Petrol,Manual,Second Owner,10,868,120,5,10307281
2008,188954,Diesel,Manual,Second Owner,17,1401,145,6,10269740
2015,26725,Diesel,Automatic,First Owner,20,2864,90,6,11009013
2011,77534,Petrol,Manual,Second Owner,15,1678,67,5,10436047
2016,44950,CNG,Manual,Second Owner,22,1345,69,4,10443805
2014,88576,Petrol,Automatic,Third Owner,19,2599,47,6,10742304
2011,25557,Petrol,Automatic,Second Owner,21,2636,80,4,10910781
2017,26825,Diesel,Manual,Third Owner,16,2907,192,7,11054934
2011,13998,Petrol,Automatic,Third Owner,15,983,98,7,10440329
2021,41080,Petrol,Manual,Third Owner,11,1637,73,6,10563163
2014,193869,Petrol,Automatic,Second Owner,12,2692,110,5,10559679
2014,151874,CNG,Automatic,First Owner,17,2188,155,6,10583003
2008,147239,CNG,Automatic,First Owner,13,2741,77,4,10623322
2008,47407,Diesel,Automatic,Second Owner,22,2752,148,4,10877166
2011,125283,Diesel,Manual,Third Owner,24,2257,156,6,10656575
2005,18338,CNG,Manual,Second Owner,17,2191,61,6,10725380
2016,81289,Petrol,Manual,First Owner,12,2253,194,6,10817457
2017,154967,Diesel,Automatic,Third Owner,11,1972,194,7,10564650
2014,183982,Diesel,Manual,Second Owner,16,2511,60,5,10546173
2019,136029,Petrol,Automatic,Third Owner,10,2200,86,4,10536029
2017,114367,Petrol,Manual,Third Owner,20,1580,89,7,10385059
2013,70898,Petrol,Automatic,First Owner,12,1828,158,7,10589205
2013,139526,Petrol,Automatic,Third Owner,11,1427,177,6,10407423
2019,122486,Petrol,Automatic,Second Owner,14,853,150,4,10224877
2014,91540,CNG,Manual,Third Owner,11,1087,67,4,10296089
2014,196869,Petrol,Manual,Third Owner,19,1868,76,4,10275422
2012,186709,Diesel,Manual,Second Owner,14,1083,90,4,10100295
2020,141421,CNG,Manual,First Owner,22,1632,47,6,10349420
2021,130416,Diesel,Automatic,First Owner,12,1381,153,7,10458424
2009,44963,Petrol,Automatic,Second Owner,18,2794,58,7,10881052
2008,143822,Diesel,Automatic,Third Owner,19,2889,69,7,10639397
2022,99929,Petrol,Automatic,Second Owner,18,1071,181,7,10422414
2008,158535,Diesel,Manual,Second Owner,17,1716,75,4,10362655
2011,79935,Diesel,Manual,Second Owner,22,1370,174,4,10457322
2014,194864,Petrol,Automatic,First Owner,14,2894,155,5,10739087
2022,18686,Diesel,Manual,Third Owner,19,2445,146,6,10990856
2008,68528,CNG,Automatic,Second Owner,20,2973,73,4,10821381
2014,104811,Diesel,Automatic,First Owner,16,1271,71,4,10350558
2005,27787,CNG,Automatic,First Owner,11,1610,81,6,10506839
2022,150848,CNG,Manual,Third Owner,12,2746,158,6,10773544
2009,120613,Diesel,Automatic,Second Owner,21,1420,53,4,10315056
2019,193499,CNG,Manual,Third Owner,20,1476,195,7,10298881
2021,109887,CNG,Automatic,Second Owner,11,1570,153,5,10493377
2007,66086,Diesel,Manual,First Owner,19,2854,133,5,10898979
2016,107231,Petrol,Manual,First Owner,20,1497,70,6,10390250
2006,68308,Petrol,Automatic,Third Owner,10,2414,191,7,10789695
2005,20797,CNG,Automatic,Second Owner,12,864,171,6,10398661
2021,10302,CNG,Manual,Third Owner,13,1001,48,5,10448860
2020,199244,Petrol,Manual,Second Owner,21,941,139,5,10172765
2009,43059,CNG,Manual,Third Owner,18,2116,109,7,10746916
2019,136980,Petrol,Automatic,First Owner,21,1957,63,5,10428617
2007,196324,Diesel,Automatic,Third Owner,11,901,137,5,10031270
2011,148949,CNG,Manual,Second Owner,18,1176,104,7,10228190
2015,19239,Diesel,Manual,Third Owner,10,1005,184,5,10504500
2014,32313,Petrol,Manual,Second Owner,18,1560,139,6,10587105
2013,47103,Petrol,Automatic,Third Owner,15,1946,89,6,10679822
2018,184480,Diesel,Automatic,Second Owner,17,2857,59,6,10679479
2017,93771,CNG,Manual,Second Owner,12,1990,98,6,10578070
2006,131228,Diesel,Manual,Second Owner,17,2434,98,4,10588844
2007,96665,Diesel,Automatic,Third Owner,20,2542,129,5,10719298
2011,15534,CNG,Automatic,Third Owner,18,2998,178,5,11120183
2022,48060,Petrol,Manual,First Owner,16,1860,123,6,10741964
2007,22189,Diesel,Manual,Second Owner,13,2712,104,5,10953091
2014,133431,Diesel,Manual,First Owner,15,2297,116,4,10562021
2011,91067,Petrol,Automatic,First Owner,15,2267,97,4,10690122
2013,15967,Diesel,Manual,Second Owner,11,1828,139,4,10752978
2021,70563,Petrol,Manual,First Owner,11,1689,162,7,10605828
2015,13660,CNG,Manual,Third Owner,20,2049,83,6,10754490
2011,123671,Petrol,Automatic,First Owner,14,2362,181,5,10714792
2018,134909,Petrol,Automatic,Third Owner,10,1202,164,4,10350806
2008,175895,Diesel,Automatic,Second Owner,14,1610,91,4,10303681
2010,191914,Petrol,Manual,Second Owner,19,1858,161,5,10370396
2014,145688,Petrol,Automatic,Second Owner,24,2060,194,5,10616319
2011,80976,Diesel,Automatic,First Owner,12,2291,51,7,10668533
2017,184810,Petrol,Automatic,Second Owner,12,1311,77,4,10180383
2018,18107,Diesel,Automatic,Second Owner,17,2646,129,4,11005287
2008,197476,CNG,Automatic,Third Owner,20,1116,143,7,10131381
2012,99182,Petrol,Manual,First Owner,12,1102,188,7,10358960
2009,96787,CNG,Manual,First Owner,12,1925,199,5,10627220
2005,20954,Petrol,Manual,Second Owner,10,2135,128,6,10762897
2008,21943,Petrol,Manual,First Owner,23,881,51,5,10287830
2007,45725,CNG,Manual,Second Owner,17,1457,128,7,10487008
2013,50434,CNG,Automatic,Third Owner,22,852,193,6,10402347
2012,90751,Diesel,Automatic,First Owner,24,1814,75,7,10526692
2005,15110,Diesel,Manual,First Owner,23,1144,55,4,10399592
2010,21462,CNG,Automatic,Third Owner,19,1908,152,7,10726663
2013,84232,Petrol,Manual,First Owner,19,1786,191,6,10596446
2011,190153,Diesel,Manual,Second Owner,15,2730,196,6,10682586
2008,188871,Petrol,Automatic,First Owner,20,1440,198,4,10261904
2017,71567,Diesel,Manual,First Owner,17,1010,102,4,10377865
2021,187296,Diesel,Automatic,Third Owner,12,1663,82,6,10275890
2006,132425,Diesel,Manual,Third Owner,23,1575,58,5,10289742
2009,61063,CNG,Automatic,Second Owner,20,1714,177,7,10619789
2016,118394,Petrol,Automatic,First Owner,15,982,95,5,10203555
2012,60240,CNG,Automatic,First Owner,24,1305,82,4,10445541
2010,86352,Diesel,Automatic,Third Owner,21,2657,87,7,10772606
2012,153940,CNG,Automatic,Second Owner,11,2859,79,7,10660819
2022,85989,CNG,Automatic,First Owner,12,892,73,4,10275623
2007,27222,CNG,Manual,Second Owner,22,1129,149,5,10484860
2016,84794,Petrol,Manual,First Owner,13,1060,152,5,10352853
2007,68924,CNG,Automatic,Third Owner,18,1509,152,4,10521753
2010,104854,CNG,Automatic,Third Owner,24,2751,168,5,10801873
2006,83513,CNG,Manual,Third Owner,21,2857,58,6,10737782
2016,59649,CNG,Manual,Third Owner,13,887,40,4,10313021
2006,107986,CNG,Manual,Third Owner,16,2372,159,6,10698699
2010,88749,CNG,Manual,Third Owner,21,1872,127,6,10556721
2021,146295,CNG,Manual,Second Owner,17,2646,192,6,10766582
2007,184238,Diesel,Automatic,Third Owner,14,2288,142,7,10466096
2006,44369,CNG,Manual,Second Owner,24,2458,123,6,10804704
2012,91379,CNG,Manual,Third Owner,11,2867,67,5,10829223
2016,74392,Petrol,Manual,First Owner,24,1931,146,4,10649059
2008,195598,Diesel,Automatic,First Owner,20,2987,84,5,10651528
2009,17661,CNG,Manual,First Owner,17,1914,63,6,10661064
2017,151663,Petrol,Manual,Second Owner,14,1070,83,6,10211586
2019,76718,CNG,Automatic,Third Owner,14,2396,169,6,10827082
2020,191307,CNG,Automatic,Second Owner,16,1083,190,6,10247823
2014,12970,CNG,Manual,Third Owner,15,1165,117,4,10530266
2020,52922,CNG,Automatic,First Owner,12,802,101,4,10380902
2016,35755,CNG,Manual,Second Owner,23,1583,182,7,10702650
2021,125926,Petrol,Manual,Third Owner,23,1187,199,4,10376437
2020,24416,CNG,Automatic,Second Owner,16,1832,43,6,10605015
2016,18672,Petrol,Manual,Second Owner,21,2189,165,7,10912571
2012,133145,CNG,Automatic,First Owner,23,2859,70,6,10743341
2007,183068,Petrol,Automatic,First Owner,10,873,98,7,10051770
2020,79095,Diesel,Automatic,First Owner,13,1037,40,4,10284799
2017,5064,CNG,Automatic,First Owner,13,2785,108,4,10978994
2012,73835,Diesel,Manual,First Owner,15,2262,53,4,10690349
2009,141711,Diesel,Manual,Third Owner,15,2580,62,7,10581728
2012,147127,Diesel,Manual,Third Owner,19,2304,147,5,10602264
2016,195292,CNG,Automatic,First Owner,17,1915,153,6,10388142
2005,92594,Diesel,Manual,First Owner,21,1671,157,4,10546632
2010,165499,Petrol,Automatic,First Owner,10,2021,183,4,10541602
2022,121916,CNG,Manual,Second Owner,22,1939,176,6,10653744
2012,125308,Diesel,Automatic,First Owner,16,2466,158,5,10724031
2011,87516,CNG,Manual,Third Owner,23,2456,137,6,10796299
2005,69666,Diesel,Manual,Third Owner,13,1931,198,4,10632331
2020,123294,Petrol,Automatic,Second Owner,22,2771,84,4,10767424
2016,15866,CNG,Manual,Third Owner,15,1610,165,5,10742793
2010,8889,CNG,Automatic,First Owner,19,855,174,7,10465777
2006,123194,Diesel,Automatic,Second Owner,24,2333,96,5,10547463
2018,129714,Petrol,Manual,Second Owner,23,1733,103,6,10501400
2008,184298,CNG,Manual,Third Owner,18,1462,41,4,10126562
2005,36335,Diesel,Manual,First Owner,12,2378,45,5,10737321
2022,55547,Petrol,Automatic,First Owner,17,2671,147,4,10904169
2017,162234,Petrol,Automatic,First Owner,12,2102,100,7,10537496
2006,160759,Petrol,Automatic,Second Owner,15,943,56,5,10010650
2013,103756,Petrol,Automatic,Third Owner,11,1028,65,5,10280323
2006,15995,CNG,Automatic,Third Owner,18,2984,115,4,11045793
2013,192560,CNG,Automatic,Third Owner,23,1039,187,7,10209327
2005,7631,Petrol,Automatic,First Owner,22,2804,80,4,10962438
2015,171026,Diesel,Automatic,Second Owner,11,2138,149,6,10548581
2007,142039,Diesel,Automatic,Second Owner,21,950,138,6,10153610
2008,93294,Petrol,Manual,Third Owner,14,1602,138,7,10463697
2022,92278,Petrol,Automatic,Third Owner,15,1152,93,6,10379648
2010,69471,Diesel,Automatic,Second Owner,13,2774,196,4,10942179
2007,42116,Petrol,Manual,Third Owner,21,1933,87,5,10623247
2015,97116,Petrol,Manual,Second Owner,16,1265,134,6,10398883
2019,170299,CNG,Automatic,Second Owner,22,1863,129,7,10454927
2009,138014,CNG,Manual,Third Owner,16,2195,189,7,10599676
2014,52664,Petrol,Manual,Second Owner,21,2348,111,4,10749121
2016,164141,Petrol,Automatic,Second Owner,16,2330,143,6,10593677
2019,92342,CNG,Automatic,Third Owner,20,852,172,6,10342891
2021,19407,Petrol,Manual,Third Owner,16,2568,91,6,10908165
2014,118926,CNG,Automatic,Third Owner,22,2374,40,7,10617941
2010,64201,CNG,Manual,Second Owner,19,1944,84,7,10621272
2022,85093,Diesel,Automatic,Third Owner,20,2912,157,7,11014342
2017,190420,CNG,Automatic,Third Owner,19,2263,79,5,10420167
2007,22878,Diesel,Manual,Second Owner,18,1095,50,4,10332406
2014,88100,Diesel,Manual,Second Owner,11,1446,165,5,10525143
2018,83629,CNG,Manual,Third Owner,14,2380,135,7,10745734
2010,191492,Petrol,Manual,Third Owner,19,2982,174,6,10701346
2007,48168,CNG,Manual,Second Owner,18,1509,188,6,10601890
2020,59862,Diesel,Automatic,Second Owner,21,866,78,5,10308585
2011,33004,CNG,Automatic,First Owner,22,2850,83,7,10962349
2018,25471,CNG,Manual,Second Owner,23,2393,96,7,10872010
2013,96820,Diesel,Manual,Second Owner,20,2711,80,7,10776806
2019,196239,CNG,Manual,First Owner,20,1309,78,6,10143378
2007,107229,CNG,Automatic,Third Owner,11,2691,187,6,10853123
2006,70308,Diesel,Automatic,First Owner,12,2261,61,7,10606717
2006,88969,Petrol,Manual,Second Owner,16,2773,196,5,10906963
2007,19568,Diesel,Automatic,First Owner,18,2799,85,4,10906241
2022,14466,Diesel,Automatic,First Owner,23,2770,42,6,10914354
2018,62324,CNG,Manual,First Owner,24,2351,172,6,10869706
2022,107208,Diesel,Manual,First Owner,12,901,95,4,10291970
2014,151539,CNG,Automatic,First Owner,24,2260,106,7,10550695
2006,80955,CNG,Automatic,First Owner,19,1533,128,5,10450793
2005,189020,CNG,Automatic,Third Owner,17,1332,199,5,10294294
2008,152748,Diesel,Automatic,First Owner,20,891,136,7,10140608
2018,99791,Diesel,Automatic,First Owner,24,2619,148,6,10797732
2005,167586,CNG,Manual,First Owner,17,1956,80,7,10404681
2018,113718,Petrol,Automatic,First Owner,21,1638,68,6,10375886
2020,27650,Petrol,Manual,Second Owner,13,1304,142,5,10607277
2018,93290,Diesel,Manual,First Owner,20,2276,150,6,10753137
2007,82701,CNG,Automatic,First Owner,22,1640,148,5,10477553
2007,15683,CNG,Manual,First Owner,15,1486,50,5,10449765
2013,195891,Diesel,Automatic,Third Owner,20,2995,134,5,10692157
2010,85978,Petrol,Manual,First Owner,21,1733,171,6,10542168
2017,9860,Diesel,Automatic,Second Owner,17,2055,132,7,10850977
2006,139801,Diesel,Manual,Third Owner,21,1683,93,5,10328753
2012,36351,CNG,Automatic,Second Owner,18,1113,160,7,10454635
2006,67744,Diesel,Automatic,Third Owner,11,1022,41,4,10270833
2008,160418,Petrol,Manual,Third Owner,10,1215,139,4,10253937
2019,125198,Diesel,Manual,First Owner,14,2909,117,5,10880337
2008,79155,CNG,Manual,First Owner,19,1423,87,4,10360495
2017,126449,Petrol,Automatic,Third Owner,12,1204,107,5,10251698
2016,81700,CNG,Manual,First Owner,20,2078,83,6,10613147
2017,11955,Diesel,Manual,First Owner,22,1189,167,6,10585321
2018,180365,Diesel,Automatic,Third Owner,15,2448,133,6,10586977
2022,197408,Diesel,Automatic,Third Owner,21,1565,122,7,10290178
2010,26662,CNG,Manual,Second Owner,23,1147,58,5,10355338
2015,11408,Diesel,Manual,Third Owner,20,2145,198,5,10918725
2006,176475,Petrol,Automatic,Second Owner,10,2719,101,7,10579034
2009,6225,Petrol,Automatic,Second Owner,21,1129,182,7,10586574
2006,148268,CNG,Automatic,First Owner,20,2768,196,4,10746573
2014,151444,CNG,Manual,First Owner,13,1773,106,4,10448689
2006,22279,CNG,Manual,Third Owner,15,2939,125,6,11002693
2015,115401,Diesel,Automatic,Third Owner,11,2045,123,7,10583732
2022,190312,Petrol,Automatic,Second Owner,20,1004,164,7,10169918
2019,97404,Petrol,Automatic,Second Owner,20,888,46,7,10242653
2013,174259,Petrol,Manual,First Owner,17,1162,168,5,10184285
2013,53481,CNG,Manual,Third Owner,13,1131,61,4,10389192
2007,164547,CNG,Manual,Third Owner,11,1507,96,7,10270355
2013,49552,Diesel,Manual,Third Owner,10,2278,133,6,10810507
2018,142930,CNG,Automatic,Third Owner,17,1221,164,5,10315733
2011,79474,Petrol,Automatic,First Owner,19,1562,112,7,10486426
2020,30168,Diesel,Manual,First Owner,10,1994,66,4,10718001
2020,37099,CNG,Automatic,Second Owner,16,1048,77,7,10410342
2005,66455,CNG,Automatic,First Owner,16,1282,167,4,10482617
2008,59240,Petrol,Manual,Second Owner,22,2207,115,4,10694333
2008,79796,Diesel,Automatic,First Owner,15,1118,180,4,10396424
2011,59592,CNG,Manual,First Owner,17,1499,136,6,10546586
2012,127181,CNG,Manual,Third Owner,19,1330,182,6,10343894
2021,183530,Diesel,Manual,Second Owner,10,1936,119,4,10394650
2009,106611,Diesel,Automatic,Second Owner,21,2747,137,5,10839342
